"","ensembl_gene_id","hgnc_symbol"
"168","ENSG00000090020","SLC9A1"
"169","ENSG00000090104","RGS1"
"170","ENSG00000090273","NUDC"
"171","ENSG00000090432","MUL1"
"172","ENSG00000090621","PABPC4"
"173","ENSG00000090686","USP48"
"174","ENSG00000092607","TBX15"
"175","ENSG00000092621","PHGDH"
"176","ENSG00000092847","AGO1"
"177","ENSG00000092850","TEKT2"
"178","ENSG00000092853","CLSPN"
"179","ENSG00000094963","FMO2"
"180","ENSG00000094975","SUCO"
"181","ENSG00000097021","ACOT7"
"182","ENSG00000097033","SH3GLB1"
"183","ENSG00000097046","CDC7"
"184","ENSG00000097096","SYDE2"
"185","ENSG00000099260","PALMD"
"186","ENSG00000107404","DVL1"
"187","ENSG00000116128","BCL9"
"188","ENSG00000116132","PRRX1"
"189","ENSG00000116133","DHCR24"
"190","ENSG00000116138","DNAJC16"
"191","ENSG00000116147","TNR"
"192","ENSG00000116151","MORN1"
"193","ENSG00000116157","GPX7"
"194","ENSG00000116161","CACYBP"
"195","ENSG00000116171","SCP2"
"196","ENSG00000116183","PAPPA2"
"197","ENSG00000116191","RALGPS2"
"198","ENSG00000116194","ANGPTL1"
"199","ENSG00000116198","CEP104"
"200","ENSG00000116199","FAM20B"
"201","ENSG00000116205","TCEANC2"
"202","ENSG00000116209","TMEM59"
"203","ENSG00000116212","LRRC42"
"204","ENSG00000116213","WRAP73"
"205","ENSG00000116218","NPHS2"
"206","ENSG00000116221","MRPL37"
"207","ENSG00000116237","ICMT"
"208","ENSG00000116251","RPL22"
"209","ENSG00000116254","CHD5"
"210","ENSG00000116260","QSOX1"
"211","ENSG00000116266","STXBP3"
"212","ENSG00000116273","PHF13"
"213","ENSG00000116285","ERRFI1"
"214","ENSG00000116288","PARK7"
"215","ENSG00000116299","ELAPOR1"
"216","ENSG00000116329","OPRD1"
"217","ENSG00000116337","AMPD2"
"218","ENSG00000116350","SRSF4"
"219","ENSG00000116353","MECR"
"220","ENSG00000116396","KCNC4"
"221","ENSG00000116406","EDEM3"
"222","ENSG00000116455","WDR77"
"223","ENSG00000116459","ATP5PB"
"224","ENSG00000116473","RAP1A"
"225","ENSG00000116478","HDAC1"
"226","ENSG00000116489","CAPZA1"
"227","ENSG00000116497","S100PBP"
"228","ENSG00000116514","RNF19B"
"229","ENSG00000116521","SCAMP3"
"230","ENSG00000116525","TRIM62"
"231","ENSG00000116539","ASH1L"
"232","ENSG00000116544","DLGAP3"
"233","ENSG00000116560","SFPQ"
"234","ENSG00000116580","GON4L"
"235","ENSG00000116584","ARHGEF2"
"236","ENSG00000116586","LAMTOR2"
"237","ENSG00000116604","MEF2D"
"238","ENSG00000116641","DOCK7"
"239","ENSG00000116649","SRM"
"240","ENSG00000116652","DLEU2L"
"241","ENSG00000116661","FBXO2"
"242","ENSG00000116663","FBXO6"
"243","ENSG00000116667","C1orf21"
"244","ENSG00000116668","SWT1"
"245","ENSG00000116670","MAD2L2"
"246","ENSG00000116675","DNAJC6"
"247","ENSG00000116678","LEPR"
"248","ENSG00000116679","IVNS1ABP"
"249","ENSG00000116685","KIAA2013"
"250","ENSG00000116688","MFN2"
"251","ENSG00000116690","PRG4"
"252","ENSG00000116691","MIIP"
"253","ENSG00000116698","SMG7"
"254","ENSG00000116701","NCF2"
"255","ENSG00000116703","PDC"
"256","ENSG00000116704","SLC35D1"
"257","ENSG00000116711","PLA2G4A"
"258","ENSG00000116717","GADD45A"
"259","ENSG00000116721","PRAMEF1"
"260","ENSG00000116726","PRAMEF12"
"261","ENSG00000116729","WLS"
"262","ENSG00000116731","PRDM2"
"263","ENSG00000116741","RGS2"
"264","ENSG00000116745","RPE65"
"265","ENSG00000116747","RO60"
"266","ENSG00000116748","AMPD1"
"267","ENSG00000116750","UCHL5"
"268","ENSG00000116752","BCAS2"
"269","ENSG00000116754","SRSF11"
"270","ENSG00000116761","CTH"
"271","ENSG00000116771","AGMAT"
"272","ENSG00000116774","OLFML3"
"273","ENSG00000116783","TNNI3K"
"274","ENSG00000116785","CFHR3"
"275","ENSG00000116786","PLEKHM2"
"276","ENSG00000116791","CRYZ"
"277","ENSG00000116793","PHTF1"
"278","ENSG00000116809","ZBTB17"
"279","ENSG00000116815","CD58"
"280","ENSG00000116819","TFAP2E"
"281","ENSG00000116824","CD2"
"282","ENSG00000116830","TTF2"
"283","ENSG00000116833","NR5A2"
"284","ENSG00000116852","KIF21B"
"285","ENSG00000116857","TMEM9"
"286","ENSG00000116863","ADPRS"
